Datetime,Time,P_ac
2018-06-17 03:15:00,2018-06-1703:15:00,0
2018-06-17 03:10:00,2018-06-1703:10:00,0
2018-06-17 03:05:00,2018-06-1703:05:00,0
2018-06-17 03:00:00,2018-06-1703:00:00,0
2018-06-17 02:55:00,2018-06-1702:55:00,0
2018-06-17 02:50:00,2018-06-1702:50:00,0
2018-06-17 02:45:00,2018-06-1702:45:00,0
2018-06-17 02:40:00,2018-06-1702:40:00,0
2018-06-17 02:35:00,2018-06-1702:35:00,0
2018-06-17 02:30:00,2018-06-1702:30:00,0
2018-06-17 02:25:00,2018-06-1702:25:00,0
2018-06-17 02:20:00,2018-06-1702:20:00,0
2018-06-17 02:15:00,2018-06-1702:15:00,0
2018-06-17 02:10:00,2018-06-1702:10:00,0
2018-06-17 02:05:00,2018-06-1702:05:00,0
2018-06-17 02:00:00,2018-06-1702:00:00,0
2018-06-17 01:55:00,2018-06-1701:55:00,0
2018-06-17 01:50:00,2018-06-1701:50:00,0
2018-06-17 01:45:00,2018-06-1701:45:00,0
2018-06-17 01:40:00,2018-06-1701:40:00,0
2018-06-17 01:35:00,2018-06-1701:35:00,0
2018-06-17 01:30:00,2018-06-1701:30:00,0
2018-06-17 01:25:00,2018-06-1701:25:00,0
2018-06-17 01:20:00,2018-06-1701:20:00,0
2018-06-17 01:15:00,2018-06-1701:15:00,0
2018-06-17 01:10:00,2018-06-1701:10:00,0
2018-06-17 01:05:00,2018-06-1701:05:00,0
2018-06-17 01:00:00,2018-06-1701:00:00,0
2018-06-17 00:55:00,2018-06-1700:55:00,0
2018-06-17 00:50:00,2018-06-1700:50:00,0
2018-06-17 00:45:00,2018-06-1700:45:00,0
2018-06-17 00:40:00,2018-06-1700:40:00,0
2018-06-17 00:35:00,2018-06-1700:35:00,0
2018-06-17 00:30:00,2018-06-1700:30:00,0
2018-06-17 00:25:00,2018-06-1700:25:00,0
2018-06-17 00:20:00,2018-06-1700:20:00,0
2018-06-17 00:15:00,2018-06-1700:15:00,0
2018-06-17 00:10:00,2018-06-1700:10:00,0
2018-06-17 00:05:00,2018-06-1700:05:00,0
2018-06-17 00:00:00,2018-06-1700:00:00,0
2018-06-16 23:55:00,2018-06-1623:55:00,0
2018-06-16 23:50:00,2018-06-1623:50:00,0
2018-06-16 23:45:00,2018-06-1623:45:00,0
2018-06-16 23:40:00,2018-06-1623:40:00,0
2018-06-16 23:35:00,2018-06-1623:35:00,0
2018-06-16 23:30:00,2018-06-1623:30:00,0
2018-06-16 23:25:00,2018-06-1623:25:00,0
2018-06-16 23:20:00,2018-06-1623:20:00,0
2018-06-16 23:15:00,2018-06-1623:15:00,0
2018-06-16 23:10:00,2018-06-1623:10:00,0
2018-06-16 23:05:00,2018-06-1623:05:00,0
2018-06-16 23:00:00,2018-06-1623:00:00,0
2018-06-16 22:55:00,2018-06-1622:55:00,0
2018-06-16 22:50:00,2018-06-1622:50:00,0
2018-06-16 22:45:00,2018-06-1622:45:00,0
2018-06-16 22:40:00,2018-06-1622:40:00,0
2018-06-16 22:35:00,2018-06-1622:35:00,0
2018-06-16 22:30:00,2018-06-1622:30:00,0
